,year_country,year,final_total_points,semi_final,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,direct_qualifier_10,gender,main_singers,key,loudness_db,beats_per_min,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,host_10,lgbtqia+,normal_cluster,point_ratio
18,2023_Estonia,2023,168.0,2.0,4.0,12.0,Estonia,Alika,Bridges,English,Ballad,0.0,Female,1,C Minor,5,140.0,47.0,59.0,33.0,84.0,0.0,14.0,3.0,0,0,0,1,1.0,22.0,146.0,4.0,22.0,8.0,10.0,74.0,,74.0,0,0,0.0,0.0,0.20733788395904436860
19,2023_Belgium,2023,182.0,2.0,5.0,16.0,Belgium,Gustaph,Because of You,English,Pop,0.0,Male,1,C Minor,6,127.0,91.0,74.0,7.0,0.0,82.0,10.0,4.0,1,3,0,0,1.0,55.0,127.0,13.0,22.0,7.0,8.0,90.0,,90.0,0,0,1.0,0.0,0.16814345991561181435
20,2023_Cyprus,2023,126.0,2.0,6.0,7.0,Cyprus,Andrew Lambrou,Break a Broken Heart,English,Ballad,0.0,Male,1,Eb Minor,4,130.0,74.0,43.0,43.0,6.0,0.0,19.0,4.0,0,0,0,0,1.0,58.0,68.0,11.0,17.0,12.0,7.0,94.0,,94.0,0,0,0.0,0.0,0.16113245517746066593
21,2023_Iceland,2023,,2.0,7.0,,Iceland,Diljá,Power,English,Pop,,Female,1,F Minor,5,160.0,73.0,41.0,27.0,1.0,0.0,20.0,5.0,0,0,0,0,0.0,,,,,,11.0,44.0,,44.0,0,0,,5.0,0.16759259259259259259
22,2023_Greece,2023,,2.0,8.0,,Greece,Victor Vernicos,What They Say,English,Pop,,Male,1,C Major,6,154.0,55.0,40.0,27.0,31.0,0.0,28.0,11.0,0,0,0,0,0.0,,,,,,13.0,14.0,,14.0,0,0,,0.0,0.21553453711665233591
23,2023_Poland,2023,93.0,2.0,9.0,4.0,Poland,Blanka,Solo,English,Pop,0.0,Female,1,B Minor,7,99.0,64.0,90.0,72.0,18.0,0.0,12.0,4.0,4,0,0,0,1.0,81.0,12.0,17.0,5.0,19.0,3.0,124.0,,124.0,0,0,0.0,5.0,0.12793542074363992172
24,2023_Slovenia,2023,78.0,2.0,10.0,24.0,Slovenia,Joker Out,Carpe Diem,Slovene,Rock,0.0,Male,1,Cs Minor,9,132.0,66.0,69.0,56.0,1.0,0.0,10.0,4.0,0,0,4,0,1.0,45.0,33.0,11.0,6.0,21.0,5.0,103.0,,103.0,0,0,0.0,5.0,0.11302395209580838323
25,2023_Georgia,2023,,2.0,11.0,,Georgia,Iru,Echo,English,Ballad,,Female,1,G Minor,4,145.0,91.0,59.0,37.0,11.0,2.0,30.0,14.0,0,0,0,0,0.0,,,,,,12.0,33.0,,33.0,0,0,,4.0,0.16753472222222222222
26,2023_San Marino,2023,,2.0,12.0,,San Marino,Piqued Jacks,Like an Animal,English,Rock,,Male,1,C Major,6,128.0,79.0,54.0,64.0,0.0,0.0,21.0,4.0,0,0,3,0,0.0,,,,,,16.0,0.0,,0.0,0,0,,4.0,0.05519943019943019943
27,2023_Austria,2023,120.0,2.0,13.0,1.0,Austria,Teya and Salena,Who the Hell Is Edgar?,English,Pop,0.0,Female,2,B Minor,8,146.0,64.0,69.0,51.0,2.0,0.0,10.0,6.0,4,0,0,0,1.0,16.0,104.0,4.0,18.0,15.0,2.0,137.0,,137.0,0,0,0.0,0.0,0.15319634703196347032
28,2023_Albania,2023,76.0,2.0,14.0,10.0,Albania,Albina and Familja Kelmendi,Duje,Albanian,Traditional,0.0,Female,1,D Minor,6,110.0,80.0,64.0,43.0,5.0,0.0,13.0,19.0,0,5,0,0,1.0,59.0,17.0,10.0,4.0,22.0,9.0,83.0,,83.0,0,0,0.0,0.0,0.13338989441930618401
29,2023_Lithuania,2023,127.0,2.0,15.0,22.0,Lithuania,Monika Linkyte,Stay,English,Ballad,0.0,Female,1,B Major,7,98.0,55.0,40.0,18.0,3.0,0.0,8.0,4.0,0,4,0,0,1.0,46.0,81.0,8.0,15.0,11.0,4.0,110.0,,110.0,0,0,1.0,0.0,0.12592910234419668382
30,2023_Australia,2023,151.0,2.0,16.0,15.0,Australia,Voyager,Promise,English,Rock,0.0,Male,1,C Major,8,122.0,70.0,62.0,33.0,0.0,0.0,10.0,7.0,0,0,4,0,1.0,21.0,130.0,6.0,23.0,9.0,1.0,149.0,,149.0,0,0,0.0,1.0,0.25276806526806526807
