,year,country_name,final_place,betting_odds,performer,song,betting_name,betting_score,page_url,contest_round,country_code,betting_bm_id,betting_sc_id
39,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,BETFRED,1.07,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,14,146
40,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,BOYLESPORTS,1.05,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,15,145
41,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,TITANBET,1.08,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,22,118
42,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,BETFAIRSPORT,1.08,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,30,111
43,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,CORAL,1.1,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,21,104
44,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,SKYBET,1.11,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,13,100
45,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,PADDYPOWER,1.07,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,1,95
46,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,YOUWIN,1.1,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,18,77
47,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,SPORTINGBET,1.12,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,11,68
48,2015,Azerbaijan,12.0,58.94736842105263,Elnur Hüseynov,Hour Of The Wolf,BETVICTOR,1.08,/eurovision/2015/azerbaijan,semi-final-2,Azerbaijan,20,59
49,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,BETFAIRSPORT,8.0,/eurovision/2015/belgium,final,Belgium,30,101
50,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,PAF,7.5,/eurovision/2015/belgium,final,Belgium,6,103
51,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,TITANBET,10.0,/eurovision/2015/belgium,final,Belgium,22,108
52,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,BETVICTOR,12.0,/eurovision/2015/belgium,final,Belgium,20,124
53,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,SKYBET,10.0,/eurovision/2015/belgium,final,Belgium,13,124
54,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,CORAL,9.0,/eurovision/2015/belgium,final,Belgium,21,124
55,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,BOYLESPORTS,12.0,/eurovision/2015/belgium,final,Belgium,15,131
56,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,YOUWIN,9.0,/eurovision/2015/belgium,final,Belgium,18,139
57,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,UNIBET,12.0,/eurovision/2015/belgium,final,Belgium,4,153
58,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,BET365,11.0,/eurovision/2015/belgium,final,Belgium,5,220
59,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,BOYLESPORTS,1.36,/eurovision/2015/belgium,semi-final-1,Belgium,15,143
60,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,SKYBET,1.29,/eurovision/2015/belgium,semi-final-1,Belgium,13,115
61,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,TITANBET,1.3,/eurovision/2015/belgium,semi-final-1,Belgium,22,105
62,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,YOUWIN,1.25,/eurovision/2015/belgium,semi-final-1,Belgium,18,100
63,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,BETFAIRSPORT,1.2,/eurovision/2015/belgium,semi-final-1,Belgium,30,95
64,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,CORAL,1.29,/eurovision/2015/belgium,semi-final-1,Belgium,21,80
65,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,SPORTINGBET,1.33,/eurovision/2015/belgium,semi-final-1,Belgium,11,80
66,2015,Belgium,4.0,10.763157894736842,Loïc Nottet,Rhythm Inside,PADDYPOWER,1.25,/eurovision/2015/belgium,semi-final-1,Belgium,1,60
